,Name,Product,ML115_Empty_12-6hr,ML115_Empty_24-12hr,ML115_Empty_24-6hr,ML115_TE_12-6hr,ML115_TE_24-12hr,ML115_TE_24-6hr,LAR1_Empty_12-6hr,LAR1_Empty_24-12hr,LAR1_Empty_24-6hr,LAR1_TE_12-6hr,LAR1_TE_24-12hr,LAR1_TE_24-6hr
b0777,bioC,"malonyl-ACP O-methyltransferase, SAM-dependent",-1.535613474,5.089215432,3.553601958,5.55395134,-4.288786832,1.265164508,-4.463553852,5.184571934,0.721018083,0.371237589,4.983950906,5.355188495
b0778,bioD,dethiobiotin synthetase,10.82547857,-1.51207596,9.313402608,2.205004557,0.067491469,2.272496026,-4.498958578,9.58460939,5.085650812,5.998591127,-3.217413916,2.781177211
b0779,uvrB,"excinulease of nucleotide excision repair, DNA damage recognition component",1.869883441,4.817487013,6.687370454,1.897658403,-1.425951854,0.471706548,-11.63421279,-5.80563175,-17.43984454,-28.91245192,-2.51472435,-31.42717627
b0780,ybhK,putative NAD(P)-binding transferase,1.838441745,-14.03589857,-12.19745683,8.93537405,-2.189090617,6.746283433,-133.827296,-2.809919662,-136.6372157,-16.80388515,-4.803550918,-21.60743606
b0781,moaA,molybdopterin biosynthesis protein A,6.296921161,-6.97620195,-0.679280789,-6.493034532,1.726639274,-4.766395259,3.222018259,-1.373508232,1.848510027,0.015044789,-5.143682814,-5.128638025
b0782,moaB,inactive molybdopterin adenylyltransferase,-1.471627984,0.585471583,-0.886156402,-1.179114399,0.254678918,-0.924435482,-0.111241093,-0.523711268,-0.634952361,-0.326661044,-1.255369965,-1.582031008
b0783,moaC,"molybdopterin biosynthesis, protein C",2.481273733,-2.200191294,0.28108244,-0.366603511,0.568314632,0.201711121,0.337657463,0.594594961,0.932252424,-0.122552723,-1.118072029,-1.240624752
b0784,moaD,"molybdopterin synthase, small subunit",1.341569627,-0.516660414,0.824909212,0.437695075,0.486772473,0.924467547,0.34123851,0.442803771,0.784042281,-0.373137617,1.130927607,0.75778999
b0785,moaE,"molybdopterin synthase, large subunit",4.539854497,-6.623032405,-2.083177908,5.812812968,2.144864362,7.95767733,6.536544726,-4.120234922,2.416309804,-2.293396248,-0.045622439,-2.339018687
b0786,ybhL,UPF0005 family inner membrane protein,0.059878528,-6.116521514,-6.056642986,3.355421485,-4.535702607,-1.180281122,2.646477696,-2.450404158,0.196073538,1.710558011,-5.026641057,-3.316083046
b0787,ybhM,UPF0005 family inner membrane protein,1.107514571,-1.09512744,0.012387131,14.72962714,-13.1938137,1.535813448,0.826294038,0.220122769,1.046416807,2.222944348,0.481190725,2.704135073
b0788,ybhN,UPF0104 family inner membrane protein,13.88181401,-8.441700138,5.44011387,5.750789483,19.6116917,25.36248118,-7.376821888,7.213329783,-0.163492105,0.57037267,17.4634686,18.03384127
b0789,clsB,cardiolipin synthase 2,5.24739114,-0.308832171,4.938558968,3.81639879,11.1355874,14.95198619,2.4171743,6.305828927,8.723003226,-0.309379091,10.83370653,10.52432744
b0790,ybhP,endo/exonuclease/phosphatase family protein,-2.608353279,-3.735864015,-6.344217295,3.357222164,-3.020207251,0.337014913,0.603370286,0.971310162,1.574680447,1.533514381,2.91476867,4.448283051
b0791,ybhQ,inner membrane protein,-116.5546157,-13.4228402,-129.9774559,-181.1736276,-81.31790517,-262.4915328,-5.712672545,-10.55198558,-16.26465812,-10.38045851,-17.83593212,-28.21639063
b0792,ybhR,inner membrane putative ABC superfamily transporter permease,3.852414838,36.18305648,40.03547132,-49.73524284,9.118283212,-40.61695963,-2.615339913,12.08728283,9.471942913,-14.11520114,27.75710594,13.6419048
b0793,ybhS,inner membrane putative ABC superfamily transporter permease,7.489993308,3.394573851,10.88456716,-0.349917158,16.68802824,16.33811109,-8.72009484,9.71562436,0.99552952,-14.30211894,37.5487072,23.24658826
b0794,ybhF,putative transporter subunit of ABC superfamily: ATP-binding component,-2.496677442,7.318143517,4.821466075,-4.281602655,-1.896015966,-6.177618621,-2.022557283,10.12587327,8.103315992,-6.083879788,10.95890582,4.875026036
b0795,ybhG,"putative membrane fusion protein (MFP) component of efflux pump, membrane anchor",5.524698265,-0.175848788,5.348849477,-2.162026975,6.171198558,4.009171583,3.859885039,-0.818566412,3.041318627,5.022513898,0.71832236,5.740836258
b0796,ybiH,DUF1956 domain-containing tetR family putative transcriptional regulator,1.246915238,0.233095534,1.480010772,-1.743224707,-4.270050288,-6.013274995,0.98383555,1.475382934,2.459218485,3.518672455,-2.536659364,0.982013091
b0797,rhlE,ATP-dependent RNA helicase,-11.36013009,-4.30708933,-15.66721942,-7.637053495,-6.31723787,-13.95429137,19.92277321,-11.75674628,8.166026925,16.09994302,-11.67044266,4.429500355
b0798,ybiA,DUF1768 family protein,-2.602641073,-0.387297364,-2.989938437,-2.709039386,0.77239684,-1.936642546,-60.1485694,3.010466361,-57.13810303,-26.24776407,6.235277718,-20.01248635
b0799,dinG,ATP-dependent DNA helicase,-1.464533493,9.145576788,7.681043295,7.052054248,24.82613934,31.87819359,5.384124454,3.76054026,9.144664714,-0.455900227,7.28519317,6.829292943
b0800,ybiB,putative family 3 glycosyltransferase,1.572643281,1.326649223,2.899292504,-1.474124473,10.148361,8.674236523,0.291569797,2.505315151,2.796884947,6.130150164,17.84934999,23.97950015
b0801,ybiC,putative dehydrogenase,-6.13947526,25.50934569,19.36987043,12.43521496,5.73963201,18.17484697,-0.74962225,5.37227053,4.62264828,-3.743023703,25.9362148,22.1931911
b0802,ybiJ,DUF1471 family putative periplasmic protein,-14.4089338,-7.862231118,-22.27116492,12.66840103,-9.971197525,2.697203505,5.023758288,-3.320236403,1.703521885,2.633234745,-3.959308217,-1.326073472
b0803,ybiI,DksA-type zinc finger protein,0.874733557,7.043894224,7.918627781,-1.85516962,-2.176979357,-4.032148977,10.47881816,-3.493214243,6.985603917,2.984390233,-4.494672684,-1.510282451
b0804,ybiX,Fe(II)-dependent oxygenase superfamily protein,-23.66494855,-1.653348098,-25.31829664,-5.052566273,-20.2621338,-25.31470008,10.47355273,-0.310598052,10.16295468,1.474691098,-8.8395764,-7.364885303
b0805,fiu,catecholate siderophore receptor Fiu,-6.845029165,-8.646569423,-15.49159859,9.858269295,8.67360026,18.53186956,14.78843345,7.262036825,22.05047027,17.27027479,2.824567052,20.09484184
b0806,mcbA,colanic acid mucoidy stimulation protein,4.260140529,0.39262796,4.652768489,-0.341196749,3.652904848,3.311708099,-1.713450381,1.242087231,-0.47136315,-1.017935922,0.894435037,-0.123500885
b0807,rlmF,"23S rRNA m(6)A1618 methyltransferase, SAM-dependent",10.39262249,-4.305758033,6.086864455,5.98312032,-25.00028185,-19.01716153,2.933631385,0.032488544,2.966119929,4.170909862,-3.623288186,0.547621676
b0808,ybiO,"mechanosensitive channel protein, intermediate conductance",-4.052862915,9.165453045,5.11259013,-2.635751322,12.7996075,10.16385618,-43.4621329,4.062602868,-39.39953003,-23.7862538,3.564117743,-20.22213605
b0809,glnQ,glutamine transporter subunit,0.720121057,-2.041844863,-1.321723805,3.034476383,17.22865002,20.26312641,-0.28915359,4.609270607,4.320117018,4.90636868,13.60600999,18.51237867
b0810,glnP,glutamine transporter subunit,4.261211368,6.437218441,10.69842981,7.532094904,14.54579183,22.07788673,2.619204235,11.57915973,14.19836396,-1.239866045,16.08122506,14.84135902
b0811,glnH,glutamine transporter subunit,2.522468526,-1.790650378,0.731818147,-6.223054697,-6.552814818,-12.77586951,0.434155997,-0.865442625,-0.431286628,-1.330070506,0.234911094,-1.095159412
b0812,dps,Fe-binding and storage protein; stress-inducible DNA-binding protetin,215.0047146,-55.69695958,159.307755,356.8936969,-208.0525546,148.8411424,68.73527977,45.00789871,113.7431785,23.82972804,-5.953328863,17.87639918
b0813,rhtA,threonine and homoserine efflux system,2.617695342,-2.410565765,0.207129577,-1.897338236,5.855255555,3.957917319,6.365972856,-5.017664405,1.348308451,3.184459235,-2.739574952,0.444884283
b0814,ompX,outer membrane protein X,-9.566910595,-2.439255495,-12.00616609,47.78310662,-94.15432371,-46.37121709,-0.222809671,-5.094934523,-5.317744193,5.161318768,-14.70726813,-9.545949359
b0815,ybiP,"putative EptAB family phosphoethanolamine transferase, inner membrane protein",18.26826744,-15.92051345,2.347753997,97.28899378,330.9387638,428.2277576,-8.689073975,-24.96747993,-33.6565539,113.1336071,107.7786707,220.9122778
b4705,mntS,"Mn(2)-response protein, MntR-repressed",8.71653376,9.811624392,18.52815815,3.936806767,6.981328281,10.91813505,-1.278961406,13.23881565,11.95985425,-1.619864792,4.25609383,2.636229038
b0817,mntR,Mn(2+)-responsive manganese regulon transcriptional regulator,0.841731245,1.687293082,2.529024327,-0.278782296,1.141700326,0.86291803,-0.284499815,0.039541126,-0.244958689,-0.187038101,1.759669463,1.572631362
b0818,ybiR,putative transporter,2.550511178,-1.510367473,1.040143705,6.140634017,22.23272699,28.37336101,-9.841851289,2.631092155,-7.210759134,-3.977684666,10.20295376,6.225269099
b0819,ldtB,"L,D-transpeptidase linking Lpp to murein",4.405914158,12.54994829,16.95586245,3.642065493,10.18797823,13.83004372,-33.38347111,-5.757086135,-39.14055725,6.265902733,41.72031592,47.98621865
b0820,ybiT,putative transporter subunit of ABC superfamily: ATP-binding component,11.12262537,-1.546664473,9.575960902,7.554534105,-1.410397089,6.144137016,0.845045659,1.188403402,2.033449061,-7.502433843,5.002103995,-2.500329848
b0821,ybiU,DUF1479 family protein,2.493436227,-1.833134438,0.660301789,-3.052904761,-0.034273369,-3.087178129,-74.2513476,14.39055488,-59.86079272,-65.84239375,50.92856976,-14.91382399
b0822,ybiV,"sugar phosphatase; preference for fructose-1-P, ribose-5-P and glucose-6-P",0.871105512,6.131978608,7.00308412,1.933471277,0.311140379,2.244611656,-7.66630178,6.327562105,-1.338739675,-7.987278868,7.021188489,-0.966090379
b0823,ybiW,putative pyruvate formate lyase,-8.836008708,-8.683177752,-17.51918646,13.77673161,-34.54762957,-20.77089796,-5.255202985,11.80085107,6.545648085,-10.05081313,11.69824289,1.647429757
b0824,ybiY,putative pyruvate formate lyase activating enzyme,-2.093790452,-2.184940706,-4.278731158,-10.79103436,-1.203399019,-11.99443338,0.140092844,-1.613308185,-1.473215341,-4.503350156,-5.340183545,-9.8435337
b0825,fsaA,fructose-6-phosphate aldolase 1,-9.282974945,-9.557207012,-18.84018196,-4.272310578,-11.05343317,-15.32574375,-1.437727828,-5.652470321,-7.090198149,1.29439188,-12.27495976,-10.98056788
b0826,moeB,molybdopterin synthase sulfurylase,-11.671694,-0.157131531,-11.82882553,-13.71851882,-3.517405397,-17.23592421,-1.340294787,-0.404645515,-1.744940303,-7.123940949,2.642902898,-4.48103805
b0827,moeA,molybdopterin molybdenumtransferase; molybdopterin biosynthesis protein,2.562099985,-2.464645722,0.097454263,0.621348594,-4.381162598,-3.759814005,7.105169133,-1.20009179,5.905077343,0.611511888,0.979824697,1.591336585
b0828,iaaA,Isoaspartyl peptidase,2.078951216,-1.401628062,0.677323154,0.712768183,0.319077476,1.031845659,0.538851795,1.162637424,1.701489219,-1.159316482,-1.58925764,-2.748574122
b0829,gsiA,"glutathione transporter ATP-binding protein, ABC superfamily",4.84015179,-9.172606455,-4.332454665,-0.852799845,-8.147388042,-9.000187887,-1.172622288,2.29684475,1.124222463,-5.857419718,-1.624235729,-7.481655446
b0830,gsiB,"glutathione periplasmic binding protein, ABC superfamily transporter",-8.605536343,-4.815729575,-13.42126592,-4.811326028,-59.46489442,-64.27622045,2.145142703,-3.336317265,-1.191174563,-5.446724181,-5.809264774,-11.25598895
b0831,gsiC,"glutathione transporter, permease component, ABC superfamily",3.216509033,4.610671719,7.827180752,-0.186866364,8.191705169,8.004838806,1.70798115,3.57873367,5.28671482,3.452518605,2.361239422,5.813758027
b0832,gsiD,"glutathione transporter, permease component, ABC superfamily",1.045057858,0.149118961,1.194176819,-1.783914713,1.31358326,-0.470331453,1.072468834,0.913388638,1.985857472,0.767187865,-0.740969328,0.026218537
b0833,yliE,putative membrane-anchored cyclic-di-GMP phosphodiesterase,-0.158212876,0.346558836,0.18834596,-1.417718841,-0.414481878,-1.832200719,-3.376434381,6.26322428,2.8867899,-1.717276117,0.007566637,-1.709709481
b0834,yliF,putative membrane-anchored diguanylate cyclase,-3.669747284,-1.48451639,-5.154263674,-9.873847497,-3.419385014,-13.29323251,-11.34329888,3.310112582,-8.033186297,-15.21664372,1.266233815,-13.9504099
b0835,rimO,ribosomal protein S12 methylthiotransferase; radical SAM superfamily,-2.295638282,-0.543139574,-2.838777856,-2.010856718,4.178532294,2.167675576,-6.693397571,0.379555222,-6.313842348,-14.85485359,-1.993208141,-16.84806173
b0836,bssR,repressor of biofilm formation by indole transport regulation,15.37901794,-2.983508298,12.39550964,1.935628472,-13.86486923,-11.92924076,1.959797931,4.537897481,6.497695413,12.14716247,-14.27990496,-2.132742487
b0837,yliI,soluble aldose sugar dehydrogenase,-4.700008372,50.79397358,46.09396521,-20.1079423,-36.22715778,-56.33510008,18.52222607,17.7011021,36.22332816,0.253710652,-0.416814735,-0.163104083
b0838,gstB,glutathione S-transferase,2.278528248,-6.139485851,-3.860957604,-1.208366248,-20.451717,-21.66008324,-3.572334152,-17.94041545,-21.5127496,70.54702051,-50.38676557,20.16025494
b0839,dacC,D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6a),-9.652069204,1.063176889,-8.588892316,-15.04642814,-1.771175878,-16.81760401,-12.01925905,7.618996997,-4.400262055,3.740170565,13.76798122,17.50815178
b0840,deoR,deoxyribose-5-phosphate-inducible deoxyribose operon transcriptional repressor; repressor of nupG and tsx,12.48412054,-7.706731265,4.777389273,-6.517993753,-4.53066406,-11.04865781,174.4223757,-120.6181867,53.80418893,72.68987073,-46.94042663,25.7494441
b0841,ybjG,undecaprenyl pyrophosphate phosphatase,26.04555038,-11.08301308,14.9625373,10.84786479,10.27440074,21.12226552,30.31470528,-12.09579133,18.21891395,16.22365847,-0.166557695,16.05710077
b0842,mdfA,multidrug efflux system protein,3.872957207,6.483612856,10.35657006,7.406468017,-0.3614274,7.045040617,-0.791172582,0.397440378,-0.393732204,8.349539954,39.18990934,47.53944929
b0843,ybjH,uncharacterized protein,-3.871278435,-10.87508386,-14.7463623,-1.79385494,-15.45226736,-17.2461223,-16.42835045,2.50779601,-13.92055444,6.445240675,-16.76171084,-10.31647017
b0844,ybjI,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase; pyrimidine phosphatase; riboflavin synthesis,1.007009237,0.708135547,1.715144785,-1.543406966,1.355807549,-0.187599417,-5.072771532,3.430794099,-1.641977433,-1.038773721,-2.163417075,-3.202190796
b0845,ybjJ,putative transporter,0.730649667,5.904550808,6.635200475,0.469177994,-0.462447573,0.006730422,-1.855604207,7.117966814,5.262362606,-1.093223665,1.116145769,0.022922104
b0846,rcdA,transcriptional regulator of csgD and ybiJI; autoregulator,21.81439977,-1.209350895,20.60504888,7.816554918,47.43779096,55.25434588,-11.56046305,3.716093321,-7.84436973,-18.40245578,28.40050241,9.998046628
b4417,rybB,-,-7.893972318,-0.257149336,-8.151121653,-4.481796656,-1.516412292,-5.998208948,-2.568453157,-0.889100688,-3.457553845,-1.259998916,-1.955930085,-3.215929001
b0847,ybjL,putative transporter,-0.80092707,-4.944672845,-5.745599915,-11.69820858,-3.7737615,-15.47197008,-11.72954046,0.167721792,-11.56181866,1.242236373,-15.00914455,-13.76690818
b0848,ybjM,inner membrane protein,8.095723203,26.86142263,34.95714583,9.796789438,32.35174316,42.1485326,3.834722006,14.38878465,18.22350666,-15.22428904,5.013547874,-10.21074116
b0849,grxA,"glutaredoxin 1, redox coenzyme for ribonucleotide reductase (RNR1a)",-3.480665372,-0.608466549,-4.08913192,1.466162611,-2.153023208,-0.686860598,-8.428198472,1.360801559,-7.067396913,14.9483377,-19.08224974,-4.133912048
b0850,ybjC,DUF1418 family protein,2.05422852,0.336546152,2.390774671,-1.154766797,0.91851733,-0.236249467,-1.328894561,0.204639667,-1.124254894,-0.978723278,-0.054507678,-1.033230956
b0851,nfsA,"nitroreductase A, NADPH-dependent, FMN-dependent",7.077252865,-2.644310446,4.43294242,0.417875664,3.313602974,3.731478637,-5.4024817,-0.685159039,-6.087640739,0.878859127,0.337758682,1.216617809
b0852,rimK,ribosomal protein S6 modification protein,-4.694019769,-0.342621143,-5.036640912,-6.217745629,-6.895495794,-13.11324142,-1.971587727,-0.258267604,-2.22985533,-2.114103143,0.317109713,-1.79699343
b0853,ybjN,negative regulator of motility; multicopy suppressor of coaA(Ts),5.486884202,-4.054925056,1.431959146,-0.790391244,1.44710137,0.656710126,5.150436342,-2.726882217,2.423554125,5.754302619,1.267141907,7.021444526
b0854,potF,putrescine transporter subunit: periplasmic-binding component of ABC superfamily,1.156815156,-0.280716145,0.876099012,1.595064198,2.753091378,4.348155576,-0.431353455,-0.477208631,-0.908562086,-1.51115243,-1.096847461,-2.607999891
b0855,potG,putrescine transporter subunit: ATP-binding component of ABC superfamily,0.772147233,1.103604966,1.875752199,-0.278782296,2.684594435,2.405812139,-0.038301887,0.461455003,0.423153116,0.882666503,0.063122186,0.945788688
b0856,potH,putrescine transporter subunit: membrane component of ABC superfamily,1.505352177,0.267978941,1.773331118,-3.170727601,4.102008209,0.931280608,-0.517994043,3.214920875,2.696926833,0.044989123,0.348713866,0.393702989
b0857,potI,putrescine transporter subunit: membrane component of ABC superfamily,1.936386846,-1.314501345,0.621885501,3.063749306,5.629071261,8.692820567,1.052148752,-1.492441024,-0.440292272,-0.397513862,3.043311015,2.645797153
b0858,ybjO,DUF2593 family inner membrane protein,4.264351708,1.832843203,6.097194911,5.068404998,1.891980818,6.960385815,6.984509055,0.183572177,7.168081232,-3.195711632,-2.412517563,-5.608229194
b0859,rlmC,"23S rRNA m(5)U747 methyltransferase, SAM-dependent",-0.060538439,-0.649265421,-0.70980386,-33.77650794,2.924285691,-30.85222225,0.277063411,-5.394986344,-5.117922934,-2.837440213,1.846407426,-0.991032787
b0860,artJ,"arginine binding protein, periplasmic",1.167130049,5.182867117,6.349997166,-2.890879094,0.033572485,-2.857306609,-24.29852332,10.52435197,-13.77417135,-20.85982167,6.311661983,-14.54815969
b0861,artM,arginine transporter subunit,-0.018083254,0.110800735,0.092717481,0.102402639,1.106451015,1.208853653,-4.378717475,1.210898008,-3.167819467,-2.55319566,1.752894239,-0.800301421
b0862,artQ,arginine transporter subunit,2.946800854,-1.092925067,1.853875786,3.460099044,-2.543684659,0.916414385,-3.343637311,3.415907489,0.072270178,-1.617142422,1.920349062,0.30320664
b0863,artI,arginine transporter subunit,1.458204974,3.071272699,4.529477673,-3.993635132,-1.56881682,-5.562451952,2.133455112,-3.725044436,-1.591589323,-0.897075259,-3.159814701,-4.05688996
b0864,artP,arginine transporter subunit,3.885008468,-6.175250151,-2.290241684,-3.906271407,0.240331545,-3.665939862,1.420007821,-0.0250829,1.39492492,3.093786837,-0.748397493,2.345389344
b0865,ybjP,lipoprotein,-1.612833893,2.997988203,1.38515431,-9.434188822,-3.460233774,-12.8944226,8.893345038,-7.493671861,1.399673177,6.148768657,-4.61577776,1.532990896
b0866,ybjQ,UPF0145 family protein,-1.164967871,0.480517738,-0.684450133,1.156575268,-1.156575268,0,-0.005972704,2.065309653,2.059336949,-0.408234758,-0.111768697,-0.520003455
b0867,amiD,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; OM lipoprotein",0.631600427,0.386953915,1.018554342,-5.237816643,-2.597856571,-7.835673213,-18.59983008,8.061471428,-10.53835865,-8.47854833,8.005528925,-0.473019405
b0868,ybjS,putative NAD(P)H-dependent oxidoreductase with NAD(P)-binding Rossmann-fold domain,-101.4010633,29.03260258,-72.36846068,29.60827173,-111.5682678,-81.95999603,30.18260433,68.14132388,98.3239282,35.92212132,-47.26144414,-11.33932283
b0869,ybjT,putative NAD-dependent oxidoreductase,3.276492508,5.840019203,9.11651171,-10.66578465,7.961982994,-2.703801655,-6.73999882,13.44159662,6.701597795,-1.268468185,4.972136095,3.70366791
b0870,ltaE,"L-allo-threonine aldolase, PLP-dependent",4.890884624,-0.721817042,4.169067582,-0.12638211,-1.860563294,-1.986945404,-2.542453578,5.768242212,3.225788634,-4.474994868,2.221373105,-2.253621763
b0871,poxB,"pyruvate dehydrogenase (pyruvate oxidase), thiamine triphosphate-binding, FAD-binding",1.074771267,2.478974914,3.553746181,-1.459051127,0.355440828,-1.1036103,-0.374311706,2.83269577,2.458384064,-0.024094512,0.417865926,0.393771414
b0872,hcr,"HCP oxidoreductase, NADH-dependent",0.435705734,6.103591642,6.539297376,1.324794153,2.22761576,3.552409913,0.174291949,7.628731547,7.803023496,-0.096155919,3.457001479,3.36084556
b0873,hcp,hybrid-cluster [4Fe-2S-2O] protein in anaerobic terminal reductases,-4.607346444,-1.183549658,-5.790896101,21.96937493,-15.21965791,6.749717018,-4.41185286,1.203363749,-3.208489111,-3.558529261,14.14516604,10.58663678
b0874,ybjE,putative transporter,-2.652657763,6.755219285,4.102561522,6.724359043,1.137433315,7.861792358,4.935323845,-4.448917136,0.486406709,1.145288905,1.402126147,2.547415052
b0875,aqpZ,aquaporin Z,1.64335599,-3.454667368,-1.811311378,-1.056062634,6.602291205,5.546228571,2.815351053,-4.272383479,-1.457032427,-1.45718807,0.236721975,-1.220466096
b0876,ybjD,putative OLD family ATP-dependent endonuclease; DUF2813 family protein,-71.46816518,-184.2012612,-255.6694263,-156.987984,-24.06607038,-181.0540544,77.57920915,-52.84535503,24.73385413,168.5330448,-100.9714841,67.56156071
b0877,ybjX,DUF535 family protein,9.252521753,-1.91526465,7.337257103,19.10662383,-21.38760548,-2.28098165,47.77495634,-24.99891503,22.77604132,14.74453272,-40.24625285,-25.50172013
b0878,macA,"macrolide transporter subunit, membrane fusion protein (MFP) component",-0.525481898,2.440579178,1.91509728,0.592851971,0.664811998,1.257663969,0.278491484,4.445922548,4.724414031,-1.947301381,1.125429609,-0.821871772
b0879,macB,fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component,0.634840635,-1.52902183,-0.894181195,-18.17895114,-2.373866225,-20.55281737,1.467251928,3.802586028,5.269837955,-5.89614687,-4.717357275,-10.61350415
b0880,cspD,"inhibitor of DNA replication, cold shock protein homolog",9.391908,335.1936686,344.5855766,149.3943403,-116.4274465,32.96689383,50.3582563,46.38105575,96.73931205,9.619101945,-17.92449629,-8.305394348
b0881,clpS,regulatory protein for ClpA substrate specificity,0.723767076,1.60711831,2.330885385,10.47021678,-13.92060338,-3.450386605,1.380094631,-0.441097316,0.938997315,1.32495807,-1.140854543,0.184103528
b0882,clpA,"ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity",-5.125876803,26.14762784,21.02175104,33.7417912,-35.44817329,-1.70638209,-13.56889708,11.26401482,-2.304882267,-15.60896596,-5.31236536,-20.92133132
b0883,serW,Ser tRNA,-3.279765721,-1.218026382,-4.497792103,-4.074928915,-1.679044488,-5.753973403,0.059373927,-2.496370416,-2.43699649,0.660384185,-1.938920699,-1.278536514
b0884,infA,translation initiation factor IF-1,0.89100594,3.800869767,4.691875707,-5.10461611,9.575893773,4.471277663,3.97267306,-3.053710629,0.918962431,2.197392255,-3.344406329,-1.147014075
b0885,aat,leucyl/phenylalanyl-tRNA-protein transferase,1.154466684,0.130192841,1.284659525,6.568246894,4.649050749,11.21729764,-1.578136227,0.714591138,-0.86354509,4.170305742,0.202439366,4.372745108
b0886,cydC,"fused glutathione, cysteine exporter subunits of ABC superfamily: membrane component/ATP-binding component",2.452883043,-4.17200676,-1.719123718,0.85321056,-1.787397806,-0.934187246,11.02300004,0.640488473,11.66348851,2.252854758,-0.103298973,2.149555785
b0887,cydD,"fused glutathione, cysteine exporter subunits of ABC superfamily: membrane component/ATP-binding component",4.564810303,9.010979018,13.57578932,-1.011481138,8.755723314,7.744242177,-6.653503435,8.347687393,1.694183957,-1.487887218,10.78800989,9.300122675
b0888,trxB,"thioredoxin reductase, FAD/NAD(P)-binding",10.29871123,-7.78380344,2.514907793,2.778979652,0.42699688,3.205976532,-2.166694623,-2.149650002,-4.316344624,-3.887528143,7.241855153,3.35432701
b0889,lrp,leucine-responsive global transcriptional regulator,-2.316597592,-0.082925354,-2.399522946,0.215124926,-4.456610765,-4.241485839,0.592995466,0.148645695,0.741641161,0.460071273,-2.310460114,-1.850388841
b0890,ftsK,DNA translocase at septal ring sorting daughter chromsomes,48.13281529,72.49061313,120.6234284,16.85663314,0.40303218,17.25966532,38.68389257,52.78655256,91.47044514,52.88808882,-0.4280844,52.46000442
b0891,lolA,lipoprotein chaperone,3.073404316,1.790453285,4.863857601,2.041689939,14.65248535,16.69417529,-0.77174702,-1.279965014,-2.051712035,-0.602021615,7.971075697,7.369054082
b0892,rarA,DNA-dependent ATPase involved in processing recombination intermediates at replication forks,0.94784438,-0.885878783,0.061965597,0.408015188,0.537859544,0.945874732,3.370485683,-2.50842628,0.862059403,-0.171586896,3.673372664,3.501785768
b0893,serS,"seryl-tRNA synthetase, also charges selenocysteinyl-tRNA with serine",-5.520733109,-1.783627366,-7.304360475,9.659384015,-8.279586778,1.379797237,5.517866706,6.644568531,12.16243524,-2.105392456,-2.576606825,-4.681999281
b0894,dmsA,"dimethyl sulfoxide reductase, anaerobic, subunit A",-6.239783155,-5.990117455,-12.22990061,-5.956900632,-3.912573836,-9.869474468,5.525549228,-0.990071458,4.53547777,4.242314163,-11.32402655,-7.08171239
b0895,dmsB,"dimethyl sulfoxide reductase, anaerobic, subunit B",0.774218293,-3.384862526,-2.610644233,-2.897139186,-2.234676683,-5.131815869,3.02243997,-1.484811126,1.537628844,3.353737197,-3.100053814,0.253683383
b0896,dmsC,"dimethyl sulfoxide reductase, anaerobic, subunit C",31.23621132,-24.3982673,6.837944023,-8.718760058,-11.72710442,-20.44586448,32.55968742,-21.66434162,10.89534581,5.944262322,-4.731223945,1.213038377
b0897,ycaC,putative isochorismatase family hydrolase,-127.2414576,-4.829272609,-132.0707302,-15.48397614,-5.009690117,-20.49366626,-23.79942783,-5.180468314,-28.97989614,221.2277145,-241.6608287,-20.43311419
b0898,ycaD,putative MFS-type transporter,0.050623782,0.880795032,0.931418814,1.099093113,-1.007610307,0.091482807,-1.383944616,-0.598645917,-1.982590533,-2.9587234,2.703938242,-0.254785158
b0899,ycaM,putative transporter,-10.03796299,-0.892590128,-10.93055312,-5.267295367,1.474669014,-3.792626353,-2.979711726,-4.793733635,-7.773445361,-7.31973259,-2.432726978,-9.752459568
b0900,ycaN,LysR family putative transcriptional regulator,-0.565743018,6.830759212,6.265016194,-9.762997603,2.981814708,-6.781182895,-9.230069074,4.580213814,-4.649855261,-1.314197255,-1.339924576,-2.654121831
b0901,ycaK,putative NAD(P)H-dependent oxidoreductase,-5.403709812,-0.540429812,-5.944139624,-8.007214035,0.934330936,-7.072883099,-18.22210793,1.502828819,-16.71927911,-5.676515987,-1.562710734,-7.239226721
b0902,pflA,[formate-C-acetyltransferase 1]-activating enzyme; pyruvate formate-lyase 1-activating enzyme,2.638642065,-0.859466757,1.779175308,-4.517310689,-1.156926201,-5.674236889,-9.455777278,-2.660675605,-12.11645288,-14.60686763,-1.938419503,-16.54528713
b0903,pflB,"formate C-acetyltransferase 1, anaerobic; pyruvate formate-lyase 1",-102.3598292,-26.47120631,-128.8310355,-191.205554,-21.6816713,-212.8872253,6.849090747,-23.57675696,-16.72766621,23.45423889,-40.4975411,-17.04330221
b0904,focA,formate channel,5.325668645,2.142625913,7.468294558,5.896326593,6.889785708,12.7861123,4.237492665,1.806074084,6.043566749,4.125485234,2.118990565,6.244475799
